"Tow Date","Make","Style","Model","Color","Plate","State","Towed to Address","Tow Facility Phone","Inventory Number"
"02/12/2026","VOLV","4D",,"BLK","DS16075","IL","400 E. Lower Wacker","(312) 744-7550","0362821"
"02/12/2026","VOLV","4D",,"BLU","JCA5374","OH","400 E. Lower Wacker","(312) 744-7550","0362851"
"02/12/2026","VOLV","LL",,"BLK","IT9848H","IL","701 N. Sacramento","(773) 265-7605","7149313"
"02/11/2026","ACUR","4D","ATL","SIL","FN32939","IL","10300 S. Doty","(773) 568-8495","3001891"
"02/11/2026","ACUR","LL","RDX","WHI",,,"701 N. Sacramento","(773) 265-7605","7149283"
"02/11/2026","ACUR","LL",,"BLU",,,"10300 S. Doty","(773) 568-8495","3001849"
"02/11/2026","AUDI","4D","AA4","BLK","FE61859","IL","701 N. Sacramento","(773) 265-7605","7149285"
"02/11/2026","AUDI","LL","Q5","BLK","FJ87899","IL","701 N. Sacramento","(773) 265-7605","7149290"
"02/11/2026","AUDI","LL",,"GRY","AW61996","IL","701 N. Sacramento","(773) 265-1846","1550768"
"02/11/2026","BMW","LL","X5","TAN","EP21373","IL","10300 S. Doty","(773) 568-8495","3001859"
"02/11/2026","BUIC","4D",,"BLU","FE13123","IL","701 N. Sacramento","(773) 265-7605","7149265"
"02/11/2026","CADI","4D",,"TAN","NONE","IL","10300 S. Doty","(773) 568-8495","3001873"
"02/11/2026","CADI","4D","DEV","SIL","EA28962","IL","10300 S. Doty","(773) 785-9752","1729337"
"02/11/2026","CADI","LL",,"BLK","BZ20111","IL","10300 S. Doty","(773) 568-8495","3001898"
"02/11/2026","CHEV","2D",,"WHI","EJ36882","IL","10300 S. Doty","(773) 568-8495","3001872"
"02/11/2026","CHEV","4D",,"BLK","FF83148","IL","10300 S. Doty","(773) 568-8495","3001854"
"02/11/2026","CHEV","4D","IMP","MAR","EA14099","IL","701 N. Sacramento","(773) 265-7605","7149286"
"02/11/2026","CHEV","4D",,"RED","DY74312","IL","10300 S. Doty","(773) 568-8495","3001868"
"02/11/2026","CHEV","4D","IMP","BLK","FL47717","IL","10300 S. Doty","(773) 568-8495","3001889"
"02/11/2026","CHEV","4D",,"BLK","NONE","IL","10300 S. Doty","(773) 568-8495","3001881"
"02/11/2026","CHEV","4D",,"TAN","FA48645","IL","701 N. Sacramento","(773) 265-7605","7149266"
"02/11/2026","CHEV","LL",,"GRY","ES63858","IL","701 N. Sacramento","(773) 265-7605","7149238"
"02/11/2026","CHEV","LL",,"GRY","FT121769","IL","10300 S. Doty","(773) 568-8495","3001869"
"02/11/2026","CHEV","LL",,"BLK","CR29171","IL","701 N. Sacramento","(773) 265-7605","7149254"
"02/11/2026","CHEV","PK",,"BLU","KHG4393","OH","10300 S. Doty","(773) 568-8495","3001860"
"02/11/2026","CHEV","VN","EXP","WHI","3578978B","IL","10300 S. Doty","(773) 785-9752","1729335"
"02/11/2026","CHEV","VN",,"TAN","FR14454","IL","701 N. Sacramento","(773) 265-1846","1550767"
"02/11/2026","CHRY","4D","300","DBL","FW82079","IL","10300 S. Doty","(773) 568-8495","3001890"
"02/11/2026","CHRY","VC",,"BLK","LWS1634","NY","400 E. Lower Wacker","(312) 744-7550","0362789"
"02/11/2026","CHRY","VN","TOW","BLK",,,"701 N. Sacramento","(773) 265-7605","7149273"
"02/11/2026","DODG","4D",,"RED","FX59425","IL","10300 S. Doty","(773) 568-8495","3001853"
"02/11/2026","DODG","VN",,"WHI","NONE","IL","10300 S. Doty","(773) 568-8495","3001874"
"02/11/2026","FORD","4D",,"RED","FD19733","IL","701 N. Sacramento","(773) 265-7605","7149264"
"02/11/2026","FORD","4D","FOC","GRY","DM95285","IL","10300 S. Doty","(773) 785-9752","1729336"
"02/11/2026","FORD","4D",,"WHI","4586BU","IL","701 N. Sacramento","(773) 265-7605","7149201"
"02/11/2026","FORD","4D",,"GRY","FQ32273","IL","10300 S. Doty","(773) 568-8495","3001848"
"02/11/2026","FORD","4D","FOC","BLU","FL48333","IL","701 N. Sacramento","(773) 265-1846","1550772"
"02/11/2026","FORD","4D",,"BLU","FG31489","IL","701 N. Sacramento","(773) 265-7605","7149262"
"02/11/2026","FORD","4D",,"BLU","EV75703","IL","701 N. Sacramento","(773) 265-7605","7149200"
"02/11/2026","FORD","LL",,"WHI",,,"701 N. Sacramento","(773) 265-7605","7149275"
"02/11/2026","FORD","LL",,"GRY","EG24529","IL","701 N. Sacramento","(773) 265-7605","7149202"
"02/11/2026","FORD","LL",,"BLK","9044IP","IL","400 E. Lower Wacker","(312) 744-7550","0362796"
"02/11/2026","FORD","LL",,"BLK","EM14734","IL","400 E. Lower Wacker","(312) 744-7550","0362759"
"02/11/2026","FORD","PK",,"WHI","1056991B","IL","701 N. Sacramento","(773) 265-7605","7149227"
"02/11/2026","FORD","PK",,"GRY","3755165B","IL","10300 S. Doty","(773) 568-8495","3001880"
"02/11/2026","FORD","PK","F15","WHI",,,"10300 S. Doty","(773) 568-8495","3001885"
"02/11/2026","FORD","VN",,"WHI","3553818B","IL","701 N. Sacramento","(773) 265-7605","7149212"
"02/11/2026","GENR","MS",,"RED","NONE","IL","10300 S. Doty","(773) 568-8495","3001852"
"02/11/2026","GMC","LL",,"SIL","CH15116","IL","701 N. Sacramento","(773) 265-7605","7149229"
"02/11/2026","GMC","LL",,"GRY","CK28712","IL","400 E. Lower Wacker","(312) 744-7550","0362774"
"02/11/2026","GMC","PK","V15","GRY",,,"10300 S. Doty","(773) 568-8495","3001887"
"02/11/2026","GMC","VN",,"WHI","NONE","IL","10300 S. Doty","(773) 568-8495","3001876"
"02/11/2026","HOND","4D",,"WHI","FR14722","IL","701 N. Sacramento","(773) 265-7605","7149248"
"02/11/2026","HOND","4D","ACC","RED",,,"10300 S. Doty","(773) 568-8495","3001886"
"02/11/2026","HOND","LL","CRV","BLK",,,"701 N. Sacramento","(773) 265-7605","7149289"
"02/11/2026","HOND","LL","CRV","GRY","EV39966","IL","701 N. Sacramento","(773) 265-7605","7149287"
"02/11/2026","HOND","LL","ODY","SIL",,,"701 N. Sacramento","(773) 265-7605","7149282"
"02/11/2026","HYUN","4D",,"GRY","U35978","IL","400 E. Lower Wacker","(312) 744-7550","0362791"
"02/11/2026","HYUN","4D",,"GLD","FX43712","IL","10300 S. Doty","(773) 568-8495","3001847"
"02/11/2026","HYUN","4D","SON","SIL",,,"10300 S. Doty","(773) 568-8495","3001857"
"02/11/2026","HYUN","4D",,"PLE","EQ80984","IL","701 N. Sacramento","(773) 265-7605","7149267"
"02/11/2026","HYUN","4D","ELN","SIL","EP60074","IL","701 N. Sacramento","(773) 265-7605","7149272"
"02/11/2026","HYUN","4D",,"BLK","FN60824","IL","10300 S. Doty","(773) 568-8495","3001897"
"02/11/2026","INFI","2D",,"WHI","NONE","IL","701 N. Sacramento","(773) 265-7605","7149223"
"02/11/2026","INFI","4D",,"BLK","S945651","IL","701 N. Sacramento","(773) 265-1846","1550769"
"02/11/2026","ISU","LL",,"WHI","195989F","IL","701 N. Sacramento","(773) 265-7605","7149210"
"02/11/2026","JEEP","LL",,"GRN","Z263537","IL","701 N. Sacramento","(773) 265-7605","7149258"
"02/11/2026","JEEP","LL",,"TAN","DK90598","IL","701 N. Sacramento","(773) 265-7605","7149207"
"02/11/2026","JEEP","LL",,"WHI","1234567","IL","701 N. Sacramento","(773) 265-7605","7149288"
"02/11/2026","JEEP","LL","GCH","BLK",,,"10300 S. Doty","(773) 568-8495","3001858"
"02/11/2026","KIA","4D","RIO","WHI","101115PV","IL","701 N. Sacramento","(773) 265-7605","7149270"
"02/11/2026","KIA","4D",,"WHI","NONE","IL","10300 S. Doty","(773) 568-8495","3001877"
"02/11/2026","KIA","4D",,"RED","FD69591","IL","701 N. Sacramento","(773) 265-7605","7149205"
"02/11/2026","KIA","LL","SPT","GRN",,,"701 N. Sacramento","(773) 265-7605","7149284"
"02/11/2026","LEXS","4D","E35","BLK","FC78024","IL","701 N. Sacramento","(773) 265-1846","1550771"
"02/11/2026","LEXS","4D","330","BLK","EG56117","IL","701 N. Sacramento","(773) 265-1846","1550770"
"02/11/2026","LEXS","4D",,"WHI","FT44997","IL","701 N. Sacramento","(773) 265-7605","7149250"
"02/11/2026","LEXS","LL",,"SIL","ZZ19282","IL","701 N. Sacramento","(773) 265-7605","7149204"
"02/11/2026","MAZD","4D",,"BLK","AJG5615","WI","701 N. Sacramento","(773) 265-7605","7149251"
"02/11/2026","MAZD","4D",,"WHI","NONE","IL","701 N. Sacramento","(773) 265-7605","7149269"
"02/11/2026","MAZD","4D",,"SIL",,,"701 N. Sacramento","(773) 265-7605","7149209"
"02/11/2026","MAZD","LL","C30","GRY","BL46XL","FL","701 N. Sacramento","(773) 265-7605","7149274"
"02/11/2026","MAZD","LL",,"BLU","FT59318","IL","701 N. Sacramento","(773) 265-7605","7149224"
"02/11/2026","MERC","4D",,"RED","FC97798","IL","10300 S. Doty","(773) 568-8495","3001896"
"02/11/2026","MITS","LL",,"SIL","CD43513","IL","701 N. Sacramento","(773) 265-7605","7149219"
"02/11/2026","NISS","2D","350","WHI",,,"701 N. Sacramento","(773) 265-7605","7149279"
"02/11/2026","NISS","4D","ALT","WHI","FN49464","IL","10300 S. Doty","(773) 568-8495","3001888"
"02/11/2026","NISS","4D",,"GRY","CT53888","IL","701 N. Sacramento","(773) 265-7605","7149230"
"02/11/2026","NISS","4D",,"SIL","EG38820","IL","701 N. Sacramento","(773) 265-7605","7149226"
"02/11/2026","NISS","LL",,"RED","NONE","IL","10300 S. Doty","(773) 568-8495","3001878"
"02/11/2026","NISS","LL",,"DBL","EE46194","IL","701 N. Sacramento","(773) 265-7605","7149211"
"02/11/2026","NISS","VN","QST","BLU",,,"10300 S. Doty","(773) 568-8495","3001892"
"02/11/2026","PONT","4D",,"MAR","EA33807","IL","10300 S. Doty","(773) 568-8495","3001845"
"02/11/2026","SUBA","SW",,"DBL","ED30063","IL","701 N. Sacramento","(773) 265-7605","7149206"
"02/11/2026","SYMG","MC",,,"D12726","IL","701 N. Sacramento","(773) 265-7605","7149281"
"02/11/2026","TOYT","4D","SOL","WHI","FN59422","IL","701 N. Sacramento","(773) 265-7605","7149278"
"02/11/2026","TOYT","4D","CAM","BLK","CZ46297","IL","701 N. Sacramento","(773) 265-7605","7149277"
"02/11/2026","TOYT","4D",,"BLK","NONE","IL","701 N. Sacramento","(773) 265-7605","7149225"
"02/11/2026","TOYT","4D","COA","WHI","FN82471","IL","10300 S. Doty","(773) 785-9752","1729334"
"02/11/2026","TOYT","4D",,"BLU","DS13301","IL","701 N. Sacramento","(773) 265-7605","7149268"
"02/11/2026","TOYT","4D",,"RED","FC71912","IL","701 N. Sacramento","(773) 265-7605","7149261"
"02/11/2026","TOYT","4D","COA","BLK","FW36062","IL","701 N. Sacramento","(773) 265-7605","7149280"
"02/11/2026","TOYT","4D",,"GRY","P919925","IL","701 N. Sacramento","(773) 265-7605","71429231"
"02/11/2026","TOYT","4D",,"GRY","FY94344","IL","400 E. Lower Wacker","(312) 744-7550","0362780"
"02/11/2026","TOYT","LL","HGH","RED",,,"10300 S. Doty","(773) 568-8495","3001893"
"02/11/2026","TOYT","LL",,"TAN","ET19846","IL","701 N. Sacramento","(773) 265-7605","7149217"
"02/11/2026","TOYT","SW",,"SIL","FN96526","IL","701 N. Sacramento","(773) 265-7605","7149213"
"02/11/2026","TOYT","VN",,"GRY","BB88663","IL","701 N. Sacramento","(773) 265-7605","7149216"
"02/11/2026","VOLK","4D",,"BLU","JUX1871","OH","701 N. Sacramento","(773) 265-7605","7149259"
"02/10/2026","ACUR","4D",,"WHI","EG32026","IL","10300 S. Doty","(773) 568-8495","3001809"
"02/10/2026","ACUR","LL",,"GRY","R521159","IL","701 N. Sacramento","(773) 265-7605","7149152"
"02/10/2026","AUDI","LL",,"WHI","CZ72308","IL","701 N. Sacramento","(773) 265-7605","7149139"
"02/10/2026","BMW","4D",,"BLU","EK85852","IL","10300 S. Doty","(773) 785-9752","1729329"
"02/10/2026","BUIC","4D",,"BLK","418ZEV","WI","701 N. Sacramento","(773) 265-7605","7149177"
"02/10/2026","BUIC","4D",,"BLK","015104A5","IL","701 N. Sacramento","(773) 265-7605","7149179"
"02/10/2026","BUIC","LL",,"RED","EZ76358","IL","400 E. Lower Wacker","(312) 744-7550","0362726"
"02/10/2026","CHEV","4D",,"GRY","CWE1583","AZ","10300 S. Doty","(773) 568-8495","3001812"
"02/10/2026","CHEV","4D",,"GRY","FR56287","IL","10300 S. Doty","(773) 568-8495","3001803"
"02/10/2026","CHEV","4D",,"WHI","CQ40390","IL","10300 S. Doty","(773) 785-9752","1729326"
"02/10/2026","CHEV","LL","BLZ","BLK",,,"701 N. Sacramento","(773) 265-1846","1550766"
"02/10/2026","CHEV","PK","SLV","TAN","2874273B","IL","10300 S. Doty","(773) 785-9752","1729330"
"02/10/2026","DODG","4D",,"RED","NONE","IL","10300 S. Doty","(773) 568-8495","3001811"
"02/10/2026","DODG","4D","AVN","MAR",,,"701 N. Sacramento","(773) 265-7605","7149185"
"02/10/2026","DODG","LL","DUR","GRY","DW87951","IL","701 N. Sacramento","(773) 265-7605","7149190"
"02/10/2026","DODG","VC",,"WHI","U33842","IL","400 E. Lower Wacker","(312) 744-7550","0362719"
"02/10/2026","DODG","VC",,"WHI","FW32033","IL","10300 S. Doty","(773) 568-8495","3001826"
"02/10/2026","DODG","VN","CVN","SIL",,,"10300 S. Doty","(773) 568-8495","3001835"
"02/10/2026","FORD","4D",,"BLK","NONE","IL","701 N. Sacramento","(773) 265-1846","1550762"
"02/10/2026","FORD","4D",,"WHI","NONE","IL","701 N. Sacramento","(773) 265-7605","7149175"
"02/10/2026","FORD","4D",,"WHI","DR60517","IL","10300 S. Doty","(773) 568-8495","3001807"
"02/10/2026","FORD","4D",,"SIL","NONE","IL","701 N. Sacramento","(773) 265-7605","7149180"
"02/10/2026","FORD","4D","FOC","SIL","EZ88731","IL","10300 S. Doty","(773) 568-8495","3001817"
"02/10/2026","FORD","LL","ECP","SIL",,,"10300 S. Doty","(773) 568-8495","3001833"
"02/10/2026","FORD","LL","ECP","GRY","MAHESH","IA","701 N. Sacramento","(773) 265-7605","7149193"
"02/10/2026","FORD","PK","F35","WHI",,,"701 N. Sacramento","(773) 265-7605","7149181"
"02/10/2026","FORD","PK","F45","BLU","RC30390","MI","701 N. Sacramento","(773) 265-7605","7149188"
"02/10/2026","GMC","PK","SRA","GRY","4182427B","IL","10300 S. Doty","(773) 568-8495","3001815"
"02/10/2026","HOND","4D","ACC","RED","EV36070","IL","10300 S. Doty","(773) 568-8495","3001841"
"02/10/2026","HOND","4D",,"GRY","FB43612","IL","400 E. Lower Wacker","(312) 744-7550","0362703"
"02/10/2026","HOND","4D","ACC","SIL",,,"10300 S. Doty","(773) 568-8495","3001818"
"02/10/2026","HOND","4D","ACC","BLK","FY35476","IL","10300 S. Doty","(773) 568-8495","3001838"
"02/10/2026","HOND","4D",,"BLK","DD24869","IL","701 N. Sacramento","(773) 265-1846","1550763"
"02/10/2026","HOND","4D",,"PLE","APP99921","IL","701 N. Sacramento","(773) 265-7605","7149138"
"02/10/2026","HOND","LL",,"WHI","AV34309","IL","Chicago O'hare International Airport remote lot E.","(312) 746-6350","416504"
"02/10/2026","HOND","LL","HRV","RED","FR67525","IL","701 N. Sacramento","(773) 265-7605","7149187"
"02/10/2026","HYUN","4D",,"SIL","V571092","IL","10300 S. Doty","(773) 568-8495","3001808"
"02/10/2026","HYUN","4D",,"BLK","FN68378","IL","701 N. Sacramento","(773) 265-1846","1550758"
"02/10/2026","HYUN","LL",,"SIL","0","IL","10300 S. Doty","(773) 568-8495","3001805"
"02/10/2026","HYUN","LL","KON","RED","FC88643","IL","10300 S. Doty","(773) 568-8495","3001834"
"02/10/2026","INFI","2D",,"DBL","FA82228","IL","701 N. Sacramento","(773) 265-1846","1550760"
"02/10/2026","INFI","4D","G35","GRY",,,"701 N. Sacramento","(773) 265-7605","7149198"
"02/10/2026","INFI","LL","EX3","GRY","FX41131","IL","10300 S. Doty","(773) 568-8495","3001832"
"02/10/2026","JEEP","LL",,"BLK","NONE","IL","701 N. Sacramento","(773) 265-7605","7149140"
