ZIP,UNITS,_ - community_area,_ - community_area_number,_ - property_type,_ - property_name,_ - address,_ - phone_number,_ - management_company,_ - x_coordinate,_ - y_coordinate,_ - latitude,_ - longitude,_ - :@computed_region_awaf_s7ux,_ - :@computed_region_43wa_7qmu,_ - :@computed_region_vrxf_vc4k,_ - :@computed_region_6mkv_f3dw,_ - :@computed_region_bdys_3d7i,_ - location - latitude,_ - location - longitude,_ - location - human_address
60608,85,Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,312-326-0333,Senior Lifestyle Corp.,1171468.409,1886029.528,41.84272915,-87.64624727,26,48,58,14920,688,41.8427291511758,-87.6462472700624,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60657,173,Lake View,6,Senior,Britton Bud Apts.,501 W. Surf St.,773-388-8101,Habitat Company,1172519.373,1919370.307,41.93419517,-87.64140394,38,25,57,4449,102,41.934195165791614,-87.64140393808746,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60641,1,Avondale,21,ARO,The Avondale Residences II,3153 N. Tripp Ave.,773-328-8038,Daniel Management Group,1147628.496,1920859.764,41.93879718,-87.73283956,7,17,22,22618,464,41.93879718099848,-87.7328395635794,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60657,2,Lake View,6,ARO,3220 Lincoln,3220 N. Lincoln Ave.,312-214-3563,3220 Lincoln LLC,1164928.833,1921523.945,41.94026958,-87.66923761,16,18,57,4449,742,41.9402695807229,-87.6692376073269,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60615,85,Washington Park,40,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,773-285-3341,Assoc. of Chicago Day School,1178127.358,1868790.595,41.7952753,-87.62233438,12,9,7,21192,401,41.7952753030787,-87.6223343775137,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60639,48,Humboldt Park,23,Multifamily,Bloomingdale Apts.,1745 N. Keystone Ave.,773-276-2965,Village Green Management Co.,1149146.636,1911465.939,41.91299036,-87.72750391,27,49,24,22615,285,41.9129903622841,-87.727503905539,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,4,Uptown,3,ARO,The Synagogue,5029 N. Kenmore Ave.,872-259-7211,The FLATS,1168376.19,1933904.517,41.97416834,-87.65620794,37,16,31,22616,634,41.9741683436707,-87.6562079425006,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,17,Woodlawn,42,Senior,Butler Apts.,6146 S. Kenwood Ave.,773-955-9290,Woodlawn Comm. Dev. Corp.,1186094.259,1864312.843,41.78280346,-87.59326131,53,4,9,22260,426,41.782803460278,-87.5932613147048,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,6,Humboldt Park,23,Multifamily,Nelson Mandela Apts.,505 N. Troy St.,773-227-6332,Bickerdike Apts.,1155324.884,1903322.64,41.89052242,-87.70502546,41,46,24,21184,177,41.8905224213702,-87.7050254597132,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60625,56,Albany Park,14,Senior,Darul Amaan Senior Living,4814-58 N. Kedzie Ave.,773-463-3004,East Lake Management & Development Corp.,1154133.125,1931889.16,41.96893506,-87.70863783,28,20,14,21849,750,41.9689350644141,-87.7086378257316,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60622,61,West Town,24,Multifamily,Paseo Boricua Apts.,1154 N. Campbell St.,312-602-6500,Hispanic Housing Dev. Corp.,1159482.293,1907856.105,41.90287808,-87.68963252,10,49,25,21560,542,41.9028780789855,-87.6896325218596,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60619,72,Chatham,44,Supportive Housing,Karibuni Place,8200 S. Ellis Ave.,773-873-0708,Heartland Housing,1184284.153,1850796.894,41.74575696,-87.60031991,9,35,40,21546,141,41.7457569580527,-87.6003199106909,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60653,24,Grand Boulevard,38,Senior,Park Boulevard Tower/Grand Renaissance Apts.,4257 S. King Dr.,773-268-4642,"East Lake Management Group, Inc.",1179612.436,1876628.605,41.81674964,-87.61664895,12,9,4,4301,163,41.8167496438949,-87.6166489474972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,108,East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV,908 S. Central Park Ave.,773-722-7320,Realty & Mortgage Co.,1152480.61,1895702.738,41.86966928,-87.71567245,36,14,30,21572,98,41.8696692769002,-87.7156724505967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60657,52,Lake View,6,Senior,Renaissance St. Luke Belmont,1501 W. Belmont Ave.,773-525-1501,"RRG Development, Inc.",1165713.523,1921292.762,41.93961849,-87.66636023,16,40,57,4449,712,41.93961848643664,-87.6663602297043,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,27,Washington Park,40,Multifamily,St. Edmund's Oasis,6100-24 S. Prairie Ave.,773-493-2411,St. Edmund's Redevelopment Corp.,1179047.074,1864591.098,41.78373056,-87.61908972,53,4,7,22260,404,41.7837305569286,-87.6190897249257,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,104,North Lawndale,29,Senior,Roosevelt Towers,3440 W. Roosevelt Road,773-265-6961,"East Lake Management Group, Inc.",1153440.124,1894532.775,41.86643977,-87.71218086,36,14,30,21572,98,41.8664397712922,-87.7121808603313,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60607,83,Near West Side,28,ARO,Arthur on Aberdeen,210 N. Aberdeen St.,312-872-1111,Willow Bridge,1169060.056,1901751.478,41.88592398,-87.65462913,,,,,,,,
60639,12,Avondale,21,ARO,The Field's Lofts,4000 W. Diversey Ave.,773-269-6066,33 Realty,1149206.496,1918356.569,41.93189772,-87.72710503,7,17,22,22615,464,41.9318977231462,-87.7271050304538,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,27,Humboldt Park,23,Multifamily,Rosa Parks Apts.,541 N. Homan Ave.,773-227-6332,Bickerdike Apts.,1153649.603,1903659.52,41.89148035,-87.71116895,41,46,24,21572,177,41.8914803509781,-87.7111689514043,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60653,81,Kenwood,39,Multifamily,Jazz on the Boulevard (scattered sites),4657 S. Drexel Blvd,312-660-1300,Heartland Housing,1183149.455,1874094.41,41.80971394,-87.60375337,1,10,5,4301,398,41.8097139385796,-87.6037533682576,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,10,Logan Square,22,ARO,Motif on Belden,2845 W. Belden Ave.,773-327-6617,33 Realty,1156843.581,1915231.888,41.92317175,-87.69912469,15,41,23,22535,322,41.9231717544125,-87.6991246890431,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60629,93,Chicago Lawn,66,Senior,Senior Suites of Marquette Village,7430 S. Rockwell St.,773-432-8420,Senior Lifestyle Corp.,1160293.922,1855122.446,41.75815411,-87.68810611,6,30,64,21867,333,41.7581541131331,-87.6881061074696,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60622,48,West Town,24,Supportive/Veterans,65th Infantry Boringueneers Apts.,1045 N. Sacramento Blvd.,773-772-4801,Hispanic Housing Dev. Corp.,1156229.026,1906960.648,41.90048723,-87.70160663,10,49,25,21560,301,41.9004872304807,-87.701606631524,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,7,North Lawndale,29,Multifamily,Park Douglas,1262-1300 S. Washtenaw Ave.,773-893-4800,Interstate Realty Management Co.,1158531.931,1893930.095,41.86468333,-87.69350477,11,23,30,14920,16,41.8646833344944,-87.6935047652592,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60616,96,Near South Side,33,Supportive Housing,The Studios,1801 S. Wabash St.,312-326-5200,East Lake Management Co.,1177086.698,1891564.72,41.85779292,-87.62546237,12,9,34,21194,374,41.857792921043,-87.6254623688353,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60808,5,North Lawndale,29,Multifamily,Park Douglas,2707 W. 12th St.,773-893-4800,Interstate Realty Management Co.,1158459.37,1894563.613,41.86642326,-87.69375381,11,23,30,14920,16,41.8664232575349,-87.6937538097267,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,7,Uptown,3,ARO,The Wilmore,4600 N. Kenmore Ave.,773-985-4384,The FLATS,1168366.031,1930722.653,41.96543743,-87.65633776,37,39,31,22616,241,41.96543743293176,-87.65633775847638,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,17,North Lawndale,29,Multifamily,Park Douglas,2642-44 W. 12 th Pl,773-893-4800,Interstate Realty Management Co.,1158736.897,1894328.04,41.86577114,-87.69274143,11,23,30,14920,16,41.8657711435233,-87.6927414310716,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,63,Lower West Side,31,Multifamily,Casa Puebla,2014 S. Racine Ave.,312-666-1323,The Resurrection Project,1168646.297,1890365.991,41.85469028,-87.65647821,8,26,33,14920,365,41.8546902787307,-87.6564782084317,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60623,8,South Lawndale,30,Multifamily,Casa Tabasco,3515-17 W. 23rd St.,312-248-8355,The Resurrection Project,1153205.149,1888451.562,41.84975688,-87.71320473,14,28,32,21569,755,41.8497568840392,-87.7132047259626,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60644,12,Austin,25,Multifamily,Rebecca Walker Complex,5565-71 W. Quincy Ave.,773-261-1550,Affordable Property Management Specialist,1139234.68,1898405.584,41.8773375,-87.76423685,52,7,26,22216,68,41.8773374950883,-87.7642368505251,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,30,Austin,22,Multifamily,Madison Renaissance Apts.,1816 N. St. Louis Ave.,773-227-1366,Related Management Co. LP,1152932.106,1911940.497,41.91421838,-87.71358429,10,41,23,22535,351,41.9142183770542,-87.7135842865605,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60617,134,Calumet Heights,48,Senior,Montclare Senior Residences of Calumet Heights,9401 S. Stony Island Ave.,312-267-4850,Pacific Management Inc.,1188530.765,1842933.538,41.72407879,-87.58501024,9,35,44,21202,492,41.7240787910774,-87.5850102376276,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,6,Uptown,3,Multifamily,Hazel Winthrop Apts.,4426 N. Magnolia Ave.,773-334-5003,Preservation Housing Management LLC,1167071.996,1929651.057,41.96252489,-87.66112652,37,39,31,22616,611,41.96252489219771,-87.66112652498248,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,10,North Lawndale,29,Multifamily,Park Douglas,1310-14 S. Washtenaw Ave.,773-893-4800,Interstate Realty Management Co.,1158535.345,1893803.561,41.86433604,-87.69349569,11,23,30,14920,16,41.8643360428425,-87.6934956949133,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60642,39,West Town,24,ARO,Avenir,730 N. Milwuakee Ave.,312-837.3920,Tandem Inc.,1169262.136,1905082.493,41.89506012,-87.65379018,41,46,25,22620,522,41.8950601208968,-87.6537901783628,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60613,2,Lake View,6,ARO,Patterson Green LLC,1118 W. Pattereson Ave.,312-462-4030,Silver Property Group,1167923.765,1924431.746,41.94818452,-87.65814611,38,25,57,21186,691,41.948184520219066,-87.65814610572426,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,35,Humboldt Park,23,Supportive/Males 18-24yrs.,Solid Ground Supportive Housing Program,3507 W. North Ave.,773-276-4900,"La Casa Norte, Inc.",1152641.115,1910367.063,41.9099065,-87.71469504,10,49,24,22535,422,41.9099064976123,-87.7146950393782,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60641,98,Portage Park,15,Senior,The Kilpatrick Renaissance,4655 W. Burteau Ave.,773-283-4655,The Renaissance Cos.,1144211.767,1927249.554,41.95639632,-87.74523589,20,50,15,22618,139,41.9563963215946,-87.7452358895033,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60620,80,Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apts.,1222 W. 79th St.,773-994-7850,Catholic Charities Housing Devp.,1169422.93,1852437.468,41.75059341,-87.65472675,17,31,70,21554,575,41.7505934139213,-87.6547267546359,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60607,59,Near West Side,28,ARO,The Venn,855 W. Madison St.,312-625-8500,John Buck Cos.,1170456.22,1900198.154,41.88163114,-87.6495476,41,46,29,14917,91,41.8816311368659,-87.6495475984714,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60614,54,Lincoln Park,7,ARO,The Apartments at Lincoln Common,2345 N. Lincoln Ave.,773-989-8000,Realty & Mortgage Co.,1170870.95,1915911.798,41.92474121,-87.64756347,51,34,68,21190,798,41.9247412087562,-87.6475634736031,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,92,Near West Side,28,Multifamily,Westhaven Park Phase IIA,2237 W. Maypole Ave.,312-455-0009,Interstate Realty Management Co.,1161390.347,1900920.966,41.88380799,-87.68281702,48,46,29,21184,37,41.8838079875001,-87.6828170157199,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60641,2,Portage Park,15,ARO,4812-15 W. Montrose Apts.,4812-15 W. Montrose Ave.,630-694-6968,@properties,1143429.525,1928858.395,41.96082581,-87.74807125,20,50,15,21869,259,41.9608258122531,-87.7480712546458,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60654,1,West Town,24,ARO,Seven 10 West,710 W. Grand Ave.,414-369-3511,Outlook Management,1171305.699,1903732.364,41.89131063,-87.64632446,41,46,25,4446,109,41.8913106255178,-87.646324463052,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60613,2,North Center,5,ARO,1911-21 W. Irving Park Rd.,1911-21 W. Irving Park Rd.,312-285-3749,Campell Street Asset Management Inc.,1162826.371,1926537.708,41.95407205,-87.67682369,13,18,46,21186,644,41.95407204874,-87.6768236930826,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,6,Humboldt Park,23,Multifamily,Rosa Parks Apts.,649 N. Sawyer Ave.,773-227-6332,Bickerdike Apts.,1154625.793,1904362.102,41.89338882,-87.70756503,41,46,24,21572,177,41.8933888222173,-87.7075650280001,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60609,80,Douglas,35,Multifamily,Park Boulevard IIA,3640 S. State St.,773-548-8792,"Urban Property Advisors, LLC",1176856.611,1880678.422,41.82792531,-87.62663572,12,9,1,14924,353,41.827925310886,-87.6266357171471,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,52,West Garfield Park,26,Supportive Housing,The Rebecca Johnson Apts.,2822 W. Jackson Blvd.,773-638-6393,Deborah's Place Ltd.,1157527.975,1898606.336,41.87753589,-87.69706305,48,46,28,21184,51,41.8775358857993,-87.6970630483414,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,6,Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3224 W. Ohio St.,773-227-6332,Bickerdike Apts.,1154618.055,1903853.44,41.89199316,-87.70760707,41,46,24,21572,177,41.8919931604846,-87.7076070703225,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60610,32,Near North Side,8,ARO,920northwells,920 N. Wells St.,312-319-9200,Willow Bridge,1174510.063,1906800.417,41.89965852,-87.63446469,41,46,37,14926,148,41.8996585214079,-87.6344646909791,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60614,107,Grand Boulevard,38,Multifamily,Progressive Square,4752 S. Wabash Ave.,773-975-7234,CMHDC/Progressive NFP/Kass Management,1177483.246,1873312.722,41.80769903,-87.62455959,12,9,4,21192,448,41.8076990345395,-87.6245595888703,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,1,West Town,24,ARO,Bucktown Gateway,1667 N. Western Ave.,773-398-5785,Bucktown Gateway,1160139.57,1911270.612,41.91223419,-87.68712373,24,40,25,22535,298,41.9122341944022,-87.6871237293732,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,3,Humboldt Park,23,Multifamily,Tierra Linda Apts.,1757 N. Drake Ave.,773-276-5338,LUCHA,1152579.353,1911651.094,41.91343122,-87.71488792,10,49,24,22535,352,41.9134312154579,-87.7148879186767,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60618,14,Irving Park,16,Senior,Indepedence Apts.,4022 N. Elston Ave.,312-382-3251,Evergreen Real Estate Services LLC,1151092.758,1926461.28,41.95410087,-87.71996013,28,50,16,21538,364,41.9541008741757,-87.719960126363,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60619,102,Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,773-933-9000,Pacific Management Inc.,1185587.742,1853564.459,41.75332086,-87.5954564,9,35,41,21546,133,41.75332086089,-87.5954564008654,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,6,Humboldt Park,23,Multifamily,Tierra Linda Apts.,1749-51 N. Drake Ave.,773-276-5338,LUCHA,1152581.854,1911572.616,41.91321582,-87.71488081,10,49,24,22535,352,41.9132158158413,-87.7148808096933,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60626,436,Rogers Park,1,Senior,Caroline Hedger Apts.,6400 N. Sheridan Road,773-743-7273,The CHA,1167087.151,1942658.705,41.99821792,-87.66069526,46,5,10,21853,48,41.99821792053241,-87.6606952555721,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,124,Near West Side,28,Multifamily,Newberry Park Apts.,1355 S. Blue Island Ave.,312-563-0099,AIMCO,1168817.278,1893757.841,41.8639941,-87.65575239,48,26,29,14920,760,41.8639940987888,-87.6557523872438,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60609,100,Fuller Park,37,Senior,Fellowship Manor,5041 S. Princeton Ave.,773-924-5980,"East Lake Management Group, Inc.",1175183.479,1871367.582,41.80241312,-87.63305258,12,9,3,14924,224,41.8024131184468,-87.6330525825815,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,90,East Garfield Park,27,Supportive Housing,Deborah's Place III,2822 W. Jackson Blvd.,773-638-6490,Deborah's Place,1157527.975,1898606.336,41.87753589,-87.69706305,48,46,28,21184,51,41.8775358857993,-87.6970630483414,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60615,100,Grand Boulevard,38,Multifamily,Williard Square Apts.,4907 S. St. Lawrence Ave.,773-536-0200,"Metroplex, Inc.",1181127.01,1872564.798,41.80556343,-87.61121843,1,10,4,21192,165,41.805563433030365,-87.61121843419868,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60657,5,Lake View,6,ARO,Low-Line Commons,3421 N. Ashland Ave,773-739-8839,33 Realty,1165082.52,1922885.515,41.94400253,-87.66863395,38,25,57,4449,239,41.94400253058712,-87.66863395172477,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60626,57,Rogers Park,1,Senior,Levy House,1221 W. Sherwin Ave.,773-508-1000,Preservation Housing Management LLC,1166287.128,1948743.442,42.01493175,-87.66346312,3,5,10,21853,357,42.01493175019485,-87.66346311838282,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60610,148,Near North Side,8,SRO,The Mark Twain,111 W. Division St.,312-913-7400,Realty & Mortgage Co.,1175171.338,1908308.392,41.90378167,-87.63199057,22,46,37,14926,310,41.9037816711229,-87.6319905715935,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,6,Humboldt Park,23,Multifamily,Rosa Parks Apts.,601 N. Drake Ave,773-227-6332,Bickerdike Apts.,1152648.978,1903805.805,41.89190162,-87.71483993,41,46,24,21572,584,41.8919016207191,-87.7148399289988,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,52,East Garfield Park,27,Multifamily,Homan Square Apartments Phase VI,3609 W. Arthington St.,773-722-7320,Realty & Mortgage Co.,1152417.178,1895758.869,41.86982456,-87.71590385,36,14,30,21572,98,41.8698245594426,-87.7159038458016,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60626,57,Rogers Park,1,Senior,James Sneider Apts.,7450 N. Rogers Ave.,773-743-3699,Hispanic Housing Dev. Corp.,1163640.709,1949531.171,42.01714971,-87.67317857,3,5,10,21853,489,42.0171497110557,-87.6731785733257,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60614,14,Lincoln Park,7,People with Disabilities,Halsted Apts.,2537 N. Halsted St.,773-716-3892,Anixter Center Housing Services,1170546.591,1917225.736,41.92835383,-87.64871676,51,34,68,21190,794,41.928353829716904,-87.64871675547464,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,29,North Lawndale,29,Multifamily,Park Douglas,1218-20 S. Washtenaw Ave.,773-893-4800,Interstate Realty Management Co.,1158519.57,1894367.8,41.8658847,-87.69353817,11,23,30,14920,16,41.8658846962216,-87.6935381672971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,18,Uptown,3,Multifamily,Uptown Preservation Apts.,4431 N. Clifton Ave.,773-286-5400,Leasing & Management Co. Inc.,1167869.511,1929704.264,41.96265369,-87.65819285,37,39,31,22616,241,41.9626536880938,-87.6581928458592,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60607,89,Near West Side,28,Supportive,Harvest Commons,1519 W. Warren Blvd.,312-660-1354,Heartland Houisng Inc.,1165979.3,1900396.393,41.88227183,-87.66598098,41,46,29,14917,63,41.8822718276684,-87.6659809766924,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60707,1,Belmont Cragin,19,ARO,Galewood Flats,2114 N. Nashville Ave.,773-648-7855,Daniel Management Group,1132223.084,1913455.475,41.9187611,-87.78963176,,,,,,41.91876109734238,87.78963175945233,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60651,9,Humboldt Park,23,Multifamily,La Estancia,3248 W. Division St.,773-227-6332,Bickerdike Apts.,1154314.32,1907834.526,41.90292371,-87.7086161,10,49,24,4299,455,41.9029237079623,-87.708616099157,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60615,67,Grand Boulevard,38,Multifamily,Mayfair Apts.,4832 S. Vincennes Ave.,773-752-0382,TLC Management Co.,1180363.274,1872953.096,41.80664653,-87.61400757,12,9,4,21192,447,41.80664652807751,-87.61400757005497,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60644,39,Austin,25,Supportive Housing,Mayfield Apts.,148 N. Mayfield Ave.,312-660-1374,Heartland Housing Inc.,1137091.152,1900686.673,41.88363584,-87.77205264,52,7,26,22216,618,41.88363584043627,-87.77205264211287,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,4,North Lawndale,29,Multifamily,Park Douglas,2652 W. 12th Pl,773-893-4800,Interstate Realty Management Co.,1158622.398,1894325.458,41.8657664,-87.69316184,11,23,30,14920,16,41.8657664015576,-87.6931618351705,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60616,176,Near South Side,33,Multifamily,Hilliard Homes Phase II,2031 S. Clark St.,312-326-1455,Holsten Management Corp.,1175862.866,1890322.361,41.8544114,-87.62999188,12,9,34,21194,330,41.8544114000898,-87.6299918763962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60630,73,Jefferson Park,11,Senior,Senior Suites of Jefferson Park,5400 N. Northwest Hwy.,773-775-7333,Senior Lifestyle Corp.,1136226.971,1935211.185,41.97839039,-87.77439957,20,50,11,21869,693,41.9783903918479,-87.7743995653441,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,3,Logan Square,22,Multfamily,Tierra Linda Apts.,1858 N. Spaulding Ave.,773-276-5338,LUCHA,1153800.449,1912395.375,41.91544934,-87.71038198,10,41,23,22535,387,41.9154493391046,-87.7103819818634,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60646,180,North Park,13,Senior,Edward M. Marx Apts.,5801 N. Pulaski Road,773-583-4182,Elderly Housing Devp. & Operations Corp.,1148723.501,1938044.237,41.98593151,-87.72836921,28,38,13,22532,747,41.9859315141827,-87.7283692100341,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60653,65,Grand Boulevard,38,Multifamily,Geneva Gables,4420-24 S. Michigan Ave.,773-924-7700,Tri-Mart Management Co.,1177858.686,1875634.197,41.81406086,-87.62311222,12,9,4,4301,393,41.8140608614135,-87.6231122243036,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
